time,observation
0,-2.93625945
0.101010101,4.528001911
0.202020202,0.3034470366
0.303030303,-0.8296345985
0.404040404,3.278738929
0.5050505051,2.008290855
0.6060606061,-5.472144713
0.7070707071,-0.1361545053
0.8080808081,5.700635553
0.9090909091,1.265537547
1.01010101,6.727230603
1.111111111,-7.560447856
1.212121212,2.165748186
1.313131313,-2.536449616
1.414141414,-1.439942396
1.515151515,2.052120584
1.616161616,1.370661184
1.717171717,-1.889902792
1.818181818,4.491418621
1.919191919,2.677924721
2.02020202,-1.987060642
2.121212121,-0.2428412998
2.222222222,3.563736714
2.323232323,3.068227183
2.424242424,0.6997351968
2.525252525,-0.3374075793
2.626262626,-2.5392604
2.727272727,0.2937903242
2.828282828,-0.5027073184
2.929292929,2.120163887
3.03030303,0.04759067712
3.131313131,4.384396697
3.232323232,1.637868042
3.333333333,1.676213067
3.434343434,2.264406102
3.535353535,4.879844852
3.636363636,1.537847869
3.737373737,3.310319017
3.838383838,3.051198523
3.939393939,5.445250788
4.04040404,0.2136495571
4.141414141,4.385680413
4.242424242,4.537720023
4.343434343,0.3262668485
4.444444444,-1.560136843
4.545454545,2.94140428
4.646464646,0.2704495686
4.747474747,-0.8812978627
4.848484848,6.693446464
4.949494949,9.165184215
5.050505051,-0.3218773622
5.151515152,5.800678443
5.252525253,-2.831254473
5.353535354,2.221540707
5.454545455,6.55520753
5.555555556,5.057764234
5.656565657,4.237721555
5.757575758,9.001514405
5.858585859,7.341979081
5.95959596,7.838035218
6.060606061,8.714367871
6.161616162,6.087589234
6.262626263,11.15778868
6.363636364,4.022903574
6.464646465,6.591669706
6.565656566,10.30661281
6.666666667,5.830733249
6.767676768,9.46289838
6.868686869,9.960519048
6.96969697,6.732581076
7.070707071,15.55077635
7.171717172,12.62357418
7.272727273,11.07010946
7.373737374,11.09125096
7.474747475,13.35910787
7.575757576,8.564192412
7.676767677,9.937818575
7.777777778,11.20447367
7.878787879,7.099052329
7.97979798,14.40354622
8.080808081,15.76469117
8.181818182,11.93993042
8.282828283,16.06195133
8.383838384,10.37230695
8.484848485,22.12151969
8.585858586,12.82675277
8.686868687,13.48779082
8.787878788,15.44243283
8.888888889,21.45530283
8.98989899,16.61373261
9.090909091,19.89407354
9.191919192,22.10093222
9.292929293,19.63272072
9.393939394,25.74723672
9.494949495,21.08202387
9.595959596,23.50300828
9.696969697,26.59320009
9.797979798,24.5441702
9.898989899,26.95718961
10,24.37555007
